MDSO102754	8964 Wallace Taylor Rd, Pocomoke City, MD 21851 	$159,900	3	1	1,176	2005	$1,338		Single Family	2 days
	22980 Parkinson Rd, Deal Island, MD 21821 	$149,000	5	3	1,848	1990			Single Family	157 days
MDSO102690	25914 Rumbley Rd, Westover, MD 21871 	$399,900	4	2	2,300	2007	$2,059		Single Family	15 days
	3288 Sackertown Rd, Crisfield, MD 21817 	$29,500	2	1	1,600	1890			Single Family	2 days
	3487 State St, Crisfield, MD 21817 	$17,500	3	2	2,080	1876			Single Family	79 days
	10863 S Jones Creek Cir, Princess Anne, MD 21853 	$170,000	3	2	1,680	2003			Single Family	6 days
MDSO102752	268 S Somerset Ave, Crisfield, MD 21817 	$114,900	2	2	1,158	1939			Single Family	3 days
	12058 Somerset Ave, Princess Anne, MD 21853 	$159,900	5	4	1,877	1910			Single Family	7 days
MDSO102352	10826 Brownstone Rd, Princess Anne, MD 21853 	$299,895	3	2	2,016	1903	$2,932		Single Family	106 days
1001584630	10236 Hotel Rd, Deal Island, MD 21821 	$200,000	4	2	1,952	1890	$2,678		Single Family	503 days
MDSO102542	11640 Long Point Rd, Dames Quarter, MD 21821 	$250,000	4	2	2,384	1946	$2,946		Single Family	49 days
	13470 Harrison Landing Rd, Princess Anne, MD 21853 	$429,000	4	3	2,820	2006			Single Family	96 days
MDSO102286	32440 Rehobeth Rd, Pocomoke City, MD 21851 	$145,000	3	2	1,560	1930	$1,207		Single Family	129 days
	23330 Benton Rd, Deal Island, MD 21821 	$179,900	4	2	1,536	1978			Single Family	8 days
1001563926	10577 Harrison Point Rd, Chance, MD 21821 	$259,900	3	2	2,633	1960	$2,044		Single Family	117 days
MDSO102398	14625 Woodland Dr, Eden, MD 21822 	$199,000	3	2	3,152	2012	$2,274		Single Family	630 days
	7211 Meadow Bridge Rd, Eden, MD 21822 	$222,900	3	2	1,423	2019			Single Family	9 days
	9628 Millard Long Rd, Westover, MD 21871 	$349,900	3	3	2,337	2007			Single Family	15 days
	20932 Caleb Jones Rd, Ewell, MD 21824 	$179,900	4	1	1,484	1940			Single Family	51 days
	29971 Greenspring Dr, Princess Anne, MD 21853 	$150,000	3	2	1,288	2008			Single Family	5 days
MDSO102088	5768 Dockside Ln, Marion Station, MD 21838 	$374,900	4	2	3,037	1990	$3,536		Single Family	171 days
	23236 Paul Benton Cir, Wenona, MD 21821 	$255,000	3	2	1,568	1982			Single Family	18 days
MDSO102528	26 Line Dr, Crisfield, MD 21817 	$185,000	3	2	1,433	2019			Single Family	54 days
	31810 Mitchell Rd, Princess Anne, MD 21853 	$575,000	3	3	2,226	1992			Single Family	177 days
MDSO102318	124 Hall Hwy, Crisfield, MD 21817 	$149,900	2	2	1,355	1948	$2,293		Single Family	120 days
MDSO101694	11660 Drexwood Dr, Princess Anne, MD 21853 	$149,900	4	3	1,851	2005	$2,585		Single Family	51 days
	11642 Somerset Ave, Princess Anne, MD 21853 	$159,995	4	2	2,130	1875			Single Family	479 days
MDSO102700	34 W Main St, Crisfield, MD 21817 	$175,000	4	3	2,725	1912	$1,824		Single Family	20 days
	4981 Annemessex Rd, Crisfield, MD 21817 	$650,000	4	4	4,554	2004			Single Family	25 days
	8610 Mennonite Church Rd, Westover, MD 21871 	$274,900	5	2	2,908	1963			Single Family	194 days
MDSO102276	5412 Frances Rd, Crisfield, MD 21817 	$539,000	4	4	3,960	1981	$4,238		Single Family	131 days
	3931 Country Club Rd, Crisfield, MD 21817 	$275,000	4	3	3,476	1992			Single Family	104 days
	1 Lavelette Rd, Crisfield, MD 21817 	$750,000	4	2	2,921	1890			Single Family	100 days
	9302 Marina Dr, Deal Island, MD 21821 	$425,000	2	2	1,179	1988			Single Family	180 days
MDSO102604	30255 Mount Vernon Rd, Princess Anne, MD 21853 	$169,900	5	2	2,028	1949	$2,004		Single Family	12 days
	29440 W Ridge Rd, Princess Anne, MD 21853 	$175,500	3	3	1,684	1900			Single Family	72 days
	10191 Crab Island Rd, Princess Anne, MD 21853 	$409,900	4	3	2,816	1995			Miscellaneous	128 days
MDSO102346	27999 Coulbourn Creek Rd, Marion Station, MD 21838 	$2,499,900	11	11	13,000	1970	$9,241		Single Family	112 days
	10577 Harrison Rd, Chance, MD 21821 	$269,900	3	2	2,600	1960			Single Family	14 days
	11365 Hayman Dr, Princess Anne, MD 21853 	$240,000	3	2	1,451	2004			Single Family	34 days
	23124 Soundside Estates Rd, Deal Island, MD 21821 	$79,500	3	2	1,344	1975			Single Family	558 days
	30555 Brannigan Dr, Princess Anne, MD 21853 	$164,000	3	3	1,737	2005			Single Family	105 days
1001986852	26170 Mount Vernon Rd, Princess Anne, MD 21853 	$425,000	3	2	1,434	1861	$2,236		Single Family	457 days
MDSO102648	19 Hammock Pointe, Crisfield, MD 21817 	$289,900	3	3	2,864	2003	$4,132		Single Family	33 days
	26878 Fairmount Rd, Westover, MD 21871 	$29,999	4	2	1,770	1973			Single Family	107 days
MDSO102144	1 Dock St UNIT 305, Crisfield, MD 21817 	$179,000	3	3	1,497	2004	$3,558		Condo	165 days
	8960 Deal Island Rd, Deal Island, MD 21821 	$184,900	3	2	2,309	1899			Single Family	1128 days
1001908350	28494 Revells Neck Rd, Westover, MD 21871 	$625,000	4	4	4,300	1952	$5,014		Single Family	181 days
	11992 Somerset Ave, Princess Anne, MD 21853 	$159,500	5	4	2,174	1912			Multi Family	629 days
	26410 Old State Rd, Crisfield, MD 21817 	$159,900	4	2	1,654	1920			Single Family	113 days
MDSO102274	5079 Manokin Rd, Crisfield, MD 21817 	$225,000	3	2	1,568	1975	$1,734		Single Family	130 days
	8692 Deal Island Rd, Deal Island, MD 21821 	$139,000	3	1	1,519	1900			Single Family	79 days
1001960460	23165 Rolfe Ln, Deal Island, MD 21821 	$399,900	3	3	2,191	1958	$2,622		Single Family	450 days
	27174 Champ Wharf Rd, Princess Anne, MD 21853 	$179,900	2	2	1,232	1987			Single Family	460 days
	26960 Annie Hyland Rd, Princess Anne, MD 21853 	$247,900	4	2	2,688	1983			Single Family	159 days
MDSO102284	24350 Hideaway Ln, Dames Quarter, MD 21821 	$345,000	3	2	1,824	1959	$3,117		Single Family	129 days
MDSO102646	23350 Keen Rd, Deal Island, MD 21821 									33 days
MDSO102236	11731 Beechwood St, Princess Anne, MD 21853 	$35,000	4	1	1,525	1947	$1,825		Single Family	141 days
	28390 Black Rd, Princess Anne, MD 21853 	$1,500,000	7	7	9,794	2009			Single Family	485 days
	30976 Turkey Branch Rd, Westover, MD 21871 	$125,000	3	2	1,568	1979			Single Family	14 days
	26285 Stouty Sterling Rd, Crisfield, MD 21817 	$184,531	4	3	2,337	2007			Single Family	116 days
MDSO101844	30541 Linden Ave, Princess Anne, MD 21853 	$197,500	3	2	1,750	1910	$1,469		Single Family	204 days
	30452 Robert St, Princess Anne, MD 21853 	$154,900	3	2	1,344	2019			Single Family	104 days
	16 Elzie Ln, Crisfield, MD 21817 	$134,900	3	2	1,120	2014			Single Family	7 days
	5810 Cherrywood Cir, Marion Station, MD 21838 									142 days
1001564928	232 N Somerset Ave, Crisfield, MD 21817 	$38,500	4	1	1,744	1900	$1,377		Single Family	485 days
	12471 Chestnut Cir, Princess Anne, MD 21853 	$209,000	7	4	1,913	1974			Single Family	54 days
